PayrollID;EmployeeID;Salary;PayDate;Bonus
1;1;45000;"2025-01-31";2000
2;2;38000;"2025-01-31";1500
3;3;42000;"2025-01-31";1800
4;4;35000;"2025-01-31";1200
5;5;48000;"2025-01-31";2200
6;6;40000;"2025-01-31";1600
7;7;44000;"2025-01-31";1900
8;8;36000;"2025-01-31";1400
9;9;41000;"2025-01-31";1700
10;10;39000;"2025-01-31";1500
11;1;45000;"2025-02-28";2500
12;2;38000;"2025-02-28";1500
13;3;42000;"2025-02-28";2000
14;4;35000;"2025-02-28";1200
15;5;48000;"2025-02-28";2400
16;11;46000;"2025-01-31";2100
17;12;37000;"2025-01-31";1300
18;11;46000;"2025-02-28";2300
19;12;37000;"2025-02-28";1400
20;10;39000;"2025-02-28";1600
